video_id,query_id,actual,seed_id,similarity,status
6125,13,True,6125,1.0,E
6126,13,True,6125,1.0,E
6127,13,True,6125,0.9296955621775848,S
6128,13,True,6125,1.0,E
6129,13,True,6125,1.0,E
6130,13,True,6125,1.0,E
6131,13,True,6125,0.9349635798762913,S
6132,13,True,6125,0.7742071983686536,S
6133,13,True,6125,1.0,E
6134,13,True,6125,0.8584542971099571,S
6135,13,True,6125,1.0,E
6136,13,True,6125,0.9017889442515117,S
6137,13,True,6125,1.0,E
6138,13,True,6125,0.8584542971099571,S
6139,13,True,6125,0.8584542971099571,S
6140,13,True,6125,0.8648414319217628,S
6141,13,True,6125,1.0,E
6142,13,True,6125,0.826699228753971,S
6143,13,True,6125,0.8029755570336492,S
6144,13,True,6125,0.8740904427162995,S
6145,13,True,6125,0.9123039341202767,S
6146,13,True,6125,0.9349635798762913,S
6147,13,True,6125,1.0,E
6148,13,True,6125,1.0,E
6149,13,True,6125,1.0,E
6150,13,True,6125,0.6654967681951117,V
6151,13,True,6125,0.8584542971099571,S
6152,13,True,6125,0.9145749004972779,S
6153,13,True,6125,1.0,E
6154,13,True,6125,1.0,E
6155,13,True,6125,0.9145749004972779,S
6156,13,True,6125,0.9111391184031633,S
6157,13,False,6125,0.09829090633339004,X
6158,13,True,6125,0.9349635798762913,S
6159,13,True,6125,0.8454044758701177,S
6160,13,True,6125,1.0,E
6161,13,True,6125,1.0,E
6162,13,True,6125,0.9501563225238628,S
6163,13,True,6125,0.9325921854501832,S
6164,13,True,6125,0.9145749004972779,S
6165,13,True,6125,0.9017889442515117,S
6166,13,True,6125,0.8029755570336492,S
6167,13,True,6125,0.9349635798762913,S
6168,13,True,6125,1.0,E
6169,13,True,6125,0.9504118968086932,S
6170,13,True,6125,0.9524949214712896,S
6171,13,True,6125,0.9349635798762913,S
6172,13,True,6125,1.0,E
6173,13,True,6125,0.7829523115469589,S
6174,13,True,6125,1.0,E
6175,13,True,6125,1.0,E
6176,13,True,6125,0.8029755570336492,S
6177,13,True,6125,1.0,E
6178,13,True,6125,0.8029755570336492,S
6179,13,True,6125,0.9236961092832933,S
6180,13,True,6125,0.6679511174241322,S
6181,13,True,6125,1.0,E
6182,13,True,6125,0.9145749004972779,S
6183,13,True,6125,0.9145749004972779,S
6184,13,True,6125,1.0,E
6185,13,True,6125,0.8029755570336492,S
6186,13,True,6125,0.9017889442515117,S
6187,13,True,6125,1.0,E
6188,13,True,6125,0.8029755570336492,S
6189,13,True,6125,1.0,E
6190,13,True,6125,1.0,E
6191,13,True,6125,1.0,E
6192,13,True,6125,0.9145749004972779,S
6193,13,True,6125,1.0,E
6194,13,True,6125,0.7470367101975403,S
